longitude,latitude,name,address
15.315194,60.53,Gagnbro - Rastplats,Pris: 0.00 SEK - Inlagt 2016-07-15 | WC HCP Sopor | 
15.281,60.30025,Långsjön - Rastplats,Pris: 0.00 SEK - Inlagt 2024-08-03 | Kassettömning WC HCP Sopor | Restaurang
15.2695,60.54925,Duvnäs - Rastplats,Pris: 0.00 SEK - Inlagt 2009-12-07 | Sopor | 
15.41433,60.48,Biltema Borlänge - Ställplats,Pris: 0.00 SEK - Inlagt 2021-04-30 | WC Sopor | Köpcentrum
15.697722,60.925944,Nyfäbon - Parkering,Pris: 0.00 SEK - Inlagt 2010-08-12 | Sopor | Nära vatten Fiskeplats
15.726722,60.591,Hosjön - Rastplats,Pris: 0.00 SEK - Inlagt 2005-12-28 | Sopor | 
15.751167,60.859472,Tängerdalens Camping och Café - Ställplats,Pris: 300.00 SEK - Inlagt 2025-07-01 | El Vatten Kassettömning Markbrunn WC Dusch Sopor Tvättstuga | Nära vatten Badplats Fiskeplats Naturnära
15.615,60.602222,Ställplats Falun - Ställplats,Pris: 195.00 SEK - Inlagt 2021-10-09 | Vatten WC Dusch Sopor | Sevärdhet
16.244722,60.711111,Lumsheden Camping - Campingplats,Pris: 100.00 SEK - Inlagt 2022-06-29 | El Vatten Kassettömning Markbrunn WC Sopor | Badplats Fiskeplats
14.774444,60.479889,Stora Vägen - Rastplats,Pris: Saknas | TC | 
15.131515,60.5526,Älvudden - Parkering,Pris: 0.00 SEK - Inlagt 2021-02-05 | TC | Naturnära
14.799444,60.507778,Kyrkälvsbron - Parkering,Pris: Saknas |  | Sevärdhet
14.676917,60.466639,Fänforsen - Rastplats,Pris: 0.00 SEK - Inlagt 2006-11-28 | WC HCP Sopor | Nära vatten Restaurang
15.13869,60.55975,Djurås - Rastplats,Pris: 0.00 SEK - Inlagt 2006-12-01 | WC HCP Sopor | Restaurang Tankställe
15.0625,60.533889,Ratt o Roder Stugby - Ställplats,Pris: 180.00 SEK - Inlagt 2024-04-07 | El Vatten WC Dusch WiFi Sopor | Nära vatten Fiskeplats Golfbana
16.070556,60.459444,Långshyttans Älgpark - Ställplats,Pris: 100.00 SEK - Inlagt 2023-06-16 | TC Sopor | Nära vatten Badplats Sevärdhet Eventcenter
16.03717,60.453724,Holmgatan Långshyttan - Ställplats,Pris: 0.00 SEK - Inlagt 2021-09-11 | Sopor | Centrumnära Badplats Fiskeplats
15.952778,60.323333,Viggen - Rastplats,Pris: 0.00 SEK - Inlagt 2019-10-25 | Kassettömning WC HCP Sopor | Nära vatten
16.167222,60.370278,Kloster - Ställplats,Pris: 160.00 SEK - Inlagt 2021-04-01 | El Vatten WC Sopor | Badplats Fiskeplats Sevärdhet
15.973333,60.292222,Folkets Park Hedemora - Ställplats,Pris: 200.00 SEK - Inlagt 2023-05-26 | El Vatten WC Dusch WiFi | Centrumnära
14.926256,60.676309,Kråkbodarna - Parkering,Pris: 0.00 SEK - Inlagt 2011-07-12 |  | Nära vatten
14.992716,60.730846,Kulturhusparkeringen - Parkering,Pris: 0.00 SEK - Inlagt 2021-01-12 |  | Centrumnära Sevärdhet
